source_id,target_id,type
2,1,REPORTS_TO
3,1,REPORTS_TO
4,1,REPORTS_TO
5,2,REPORTS_TO
6,2,REPORTS_TO
7,2,REPORTS_TO
8,3,REPORTS_TO
9,3,REPORTS_TO
10,3,REPORTS_TO
11,4,REPORTS_TO
12,4,REPORTS_TO
13,4,REPORTS_TO
14,5,REPORTS_TO
15,5,REPORTS_TO
16,5,REPORTS_TO
17,6,REPORTS_TO
18,6,REPORTS_TO
19,6,REPORTS_TO
20,7,REPORTS_TO
21,7,REPORTS_TO
22,7,REPORTS_TO
23,8,REPORTS_TO
24,8,REPORTS_TO
25,8,REPORTS_TO
26,9,REPORTS_TO
27,9,REPORTS_TO
28,9,REPORTS_TO
29,10,REPORTS_TO
30,10,REPORTS_TO
31,10,REPORTS_TO
32,11,REPORTS_TO
33,11,REPORTS_TO
34,11,REPORTS_TO
35,12,REPORTS_TO
36,12,REPORTS_TO
37,12,REPORTS_TO
38,13,REPORTS_TO
39,13,REPORTS_TO
40,13,REPORTS_TO
41,14,REPORTS_TO
42,14,REPORTS_TO
43,14,REPORTS_TO
44,15,REPORTS_TO
45,15,REPORTS_TO
46,15,REPORTS_TO
47,16,REPORTS_TO
48,16,REPORTS_TO
49,16,REPORTS_TO
50,17,REPORTS_TO
51,17,REPORTS_TO
52,17,REPORTS_TO
53,18,REPORTS_TO
54,18,REPORTS_TO
55,18,REPORTS_TO
56,19,REPORTS_TO
57,19,REPORTS_TO
58,19,REPORTS_TO
59,20,REPORTS_TO
60,20,REPORTS_TO
61,20,REPORTS_TO
62,21,REPORTS_TO
63,21,REPORTS_TO
64,21,REPORTS_TO
65,22,REPORTS_TO
66,22,REPORTS_TO
67,22,REPORTS_TO
68,23,REPORTS_TO
69,23,REPORTS_TO
70,23,REPORTS_TO
71,24,REPORTS_TO
72,24,REPORTS_TO
73,24,REPORTS_TO
74,25,REPORTS_TO
75,25,REPORTS_TO
76,25,REPORTS_TO
77,26,REPORTS_TO
78,26,REPORTS_TO
79,26,REPORTS_TO
80,27,REPORTS_TO
81,27,REPORTS_TO
82,27,REPORTS_TO
83,28,REPORTS_TO
84,28,REPORTS_TO
85,28,REPORTS_TO
86,29,REPORTS_TO
87,29,REPORTS_TO
88,29,REPORTS_TO
89,30,REPORTS_TO
90,30,REPORTS_TO
91,30,REPORTS_TO
92,31,REPORTS_TO
93,31,REPORTS_TO
94,31,REPORTS_TO
95,32,REPORTS_TO
96,32,REPORTS_TO
97,32,REPORTS_TO
98,33,REPORTS_TO
99,33,REPORTS_TO
100,33,REPORTS_TO
101,34,REPORTS_TO
102,34,REPORTS_TO
103,34,REPORTS_TO
104,35,REPORTS_TO
105,35,REPORTS_TO
106,35,REPORTS_TO
107,36,REPORTS_TO
108,36,REPORTS_TO
109,36,REPORTS_TO
110,37,REPORTS_TO
111,37,REPORTS_TO
112,37,REPORTS_TO
113,38,REPORTS_TO
114,38,REPORTS_TO
115,38,REPORTS_TO
116,39,REPORTS_TO
117,39,REPORTS_TO
118,39,REPORTS_TO
119,40,REPORTS_TO
120,40,REPORTS_TO
121,40,REPORTS_TO
